Category: Games

Month,wow priest: (United States)
2004-10,11
2004-11,12
2004-12,21
2005-01,21
2005-02,18
2005-03,22
2005-04,35
2005-05,32
2005-06,41
2005-07,39
2005-08,44
2005-09,32
2005-10,38
2005-11,51
2005-12,39
2006-01,51
2006-02,60
2006-03,61
2006-04,53
2006-05,56
2006-06,61
2006-07,65
2006-08,65
2006-09,70
2006-10,56
2006-11,63
2006-12,69
2007-01,61
2007-02,66
2007-03,59
2007-04,72
2007-05,66
2007-06,70
2007-07,79
2007-08,77
2007-09,64
2007-10,65
2007-11,66
2007-12,90
2008-01,93
2008-02,94
2008-03,81
2008-04,81
2008-05,86
2008-06,100
2008-07,96
2008-08,88
2008-09,76
2008-10,86
2008-11,71
2008-12,79
2009-01,93
2009-02,73
2009-03,76
2009-04,82
2009-05,76
2009-06,78
2009-07,83
2009-08,80
2009-09,69
2009-10,63
2009-11,63
2009-12,74
2010-01,79
2010-02,75
2010-03,66
2010-04,62
2010-05,64
2010-06,70
2010-07,61
2010-08,63
2010-09,52
2010-10,66
2010-11,55
2010-12,74
2011-01,62
2011-02,56
2011-03,44
2011-04,45
2011-05,48
2011-06,41
2011-07,48
2011-08,49
2011-09,40
2011-10,41
2011-11,32
2011-12,41
2012-01,35
2012-02,30
2012-03,33
2012-04,30
2012-05,25
2012-06,27
2012-07,35
2012-08,32
2012-09,32
2012-10,29
2012-11,24
2012-12,28
2013-01,29
2013-02,25
2013-03,28
2013-04,25
2013-05,22
2013-06,27
2013-07,25
2013-08,21
2013-09,24
2013-10,20
2013-11,20
2013-12,23
2014-01,26
2014-02,21
2014-03,22
2014-04,20
2014-05,19
2014-06,21
2014-07,24
2014-08,24
2014-09,19
2014-10,25
2014-11,33
2014-12,38
2015-01,27
2015-02,20
2015-03,18
2015-04,14
2015-05,18
2015-06,14
2015-07,18
2015-08,19
2015-09,13
2015-10,10
2015-11,14
2015-12,18
2016-01,17
2016-02,13
2016-03,13
2016-04,13
2016-05,15
2016-06,19
2016-07,22
2016-08,28
2016-09,41
2016-10,26
2016-11,19
2016-12,18
2017-01,21
2017-02,14
2017-03,15
2017-04,13
2017-05,14
2017-06,15
2017-07,13
2017-08,12
2017-09,12
2017-10,11
2017-11,16
2017-12,15
2018-01,14
2018-02,16
2018-03,14
2018-04,13
2018-05,14
2018-06,13
2018-07,20
2018-08,25
2018-09,23
2018-10,14
2018-11,14
2018-12,10
2019-01,10
2019-02,9
2019-03,10
2019-04,10
2019-05,18
2019-06,19
2019-07,14
2019-08,52
2019-09,96
2019-10,50
2019-11,37
2019-12,29
2020-01,25
2020-02,25
2020-03,26
2020-04,30
2020-05,31
2020-06,26
2020-07,26
2020-08,27
2020-09,24
2020-10,24
2020-11,30
2020-12,33
2021-01,24
2021-02,23
2021-03,19
2021-04,19
2021-05,19
2021-06,18
2021-07,14
2021-08,9
2021-09,7
2021-10,6
2021-11,9
2021-12,8
2022-01,15
2022-02,11
2022-03,13
2022-04,15
2022-05,16
2022-06,15
2022-07,17
2022-08,18
2022-09,21
2022-10,20
