Category: Games

Month,wow shaman: (United States)
2004-10,6
2004-11,9
2004-12,19
2005-01,36
2005-02,7
2005-03,27
2005-04,32
2005-05,26
2005-06,35
2005-07,24
2005-08,24
2005-09,22
2005-10,30
2005-11,23
2005-12,34
2006-01,32
2006-02,40
2006-03,41
2006-04,42
2006-05,45
2006-06,51
2006-07,37
2006-08,38
2006-09,49
2006-10,43
2006-11,38
2006-12,63
2007-01,63
2007-02,83
2007-03,57
2007-04,51
2007-05,66
2007-06,65
2007-07,63
2007-08,71
2007-09,54
2007-10,55
2007-11,79
2007-12,98
2008-01,83
2008-02,91
2008-03,94
2008-04,93
2008-05,85
2008-06,100
2008-07,95
2008-08,96
2008-09,84
2008-10,79
2008-11,70
2008-12,75
2009-01,92
2009-02,87
2009-03,94
2009-04,89
2009-05,83
2009-06,88
2009-07,90
2009-08,83
2009-09,81
2009-10,80
2009-11,73
2009-12,92
2010-01,84
2010-02,81
2010-03,76
2010-04,72
2010-05,83
2010-06,80
2010-07,72
2010-08,66
2010-09,52
2010-10,73
2010-11,64
2010-12,78
2011-01,71
2011-02,55
2011-03,42
2011-04,38
2011-05,49
2011-06,47
2011-07,46
2011-08,50
2011-09,41
2011-10,34
2011-11,28
2011-12,41
2012-01,33
2012-02,32
2012-03,36
2012-04,37
2012-05,30
2012-06,28
2012-07,35
2012-08,30
2012-09,29
2012-10,32
2012-11,27
2012-12,26
2013-01,31
2013-02,22
2013-03,25
2013-04,22
2013-05,24
2013-06,27
2013-07,30
2013-08,27
2013-09,30
2013-10,24
2013-11,26
2013-12,33
2014-01,33
2014-02,30
2014-03,31
2014-04,24
2014-05,26
2014-06,24
2014-07,29
2014-08,35
2014-09,25
2014-10,30
2014-11,40
2014-12,40
2015-01,28
2015-02,23
2015-03,20
2015-04,18
2015-05,19
2015-06,17
2015-07,20
2015-08,23
2015-09,18
2015-10,13
2015-11,20
2015-12,19
2016-01,22
2016-02,18
2016-03,15
2016-04,18
2016-05,15
2016-06,22
2016-07,28
2016-08,36
2016-09,44
2016-10,31
2016-11,23
2016-12,20
2017-01,24
2017-02,18
2017-03,16
2017-04,17
2017-05,14
2017-06,17
2017-07,16
2017-08,12
2017-09,13
2017-10,10
2017-11,22
2017-12,14
2018-01,14
2018-02,19
2018-03,17
2018-04,14
2018-05,15
2018-06,16
2018-07,21
2018-08,27
2018-09,25
2018-10,15
2018-11,13
2018-12,10
2019-01,11
2019-02,10
2019-03,11
2019-04,11
2019-05,18
2019-06,20
2019-07,16
2019-08,47
2019-09,74
2019-10,37
2019-11,27
2019-12,23
2020-01,23
2020-02,24
2020-03,21
2020-04,33
2020-05,32
2020-06,29
2020-07,26
2020-08,26
2020-09,22
2020-10,25
2020-11,27
2020-12,36
2021-01,25
2021-02,22
2021-03,21
2021-04,18
2021-05,29
2021-06,23
2021-07,17
2021-08,11
2021-09,11
2021-10,8
2021-11,9
2021-12,10
2022-01,17
2022-02,16
2022-03,19
2022-04,21
2022-05,19
2022-06,16
2022-07,19
2022-08,22
2022-09,24
2022-10,24
