Category: Games

Month,wow druid: (United States)
2004-10,4
2004-11,9
2004-12,12
2005-01,18
2005-02,20
2005-03,19
2005-04,20
2005-05,35
2005-06,27
2005-07,19
2005-08,31
2005-09,27
2005-10,33
2005-11,33
2005-12,49
2006-01,44
2006-02,32
2006-03,40
2006-04,40
2006-05,43
2006-06,48
2006-07,46
2006-08,50
2006-09,62
2006-10,47
2006-11,46
2006-12,72
2007-01,57
2007-02,65
2007-03,52
2007-04,58
2007-05,59
2007-06,61
2007-07,69
2007-08,60
2007-09,69
2007-10,57
2007-11,65
2007-12,83
2008-01,80
2008-02,79
2008-03,82
2008-04,80
2008-05,84
2008-06,100
2008-07,95
2008-08,95
2008-09,85
2008-10,82
2008-11,76
2008-12,92
2009-01,88
2009-02,81
2009-03,79
2009-04,79
2009-05,85
2009-06,91
2009-07,92
2009-08,95
2009-09,75
2009-10,73
2009-11,69
2009-12,80
2010-01,80
2010-02,73
2010-03,62
2010-04,67
2010-05,71
2010-06,65
2010-07,70
2010-08,64
2010-09,50
2010-10,66
2010-11,59
2010-12,75
2011-01,61
2011-02,50
2011-03,39
2011-04,38
2011-05,44
2011-06,42
2011-07,47
2011-08,44
2011-09,35
2011-10,36
2011-11,31
2011-12,34
2012-01,30
2012-02,28
2012-03,28
2012-04,32
2012-05,22
2012-06,24
2012-07,29
2012-08,34
2012-09,28
2012-10,27
2012-11,21
2012-12,23
2013-01,22
2013-02,21
2013-03,22
2013-04,20
2013-05,20
2013-06,22
2013-07,22
2013-08,22
2013-09,17
2013-10,16
2013-11,19
2013-12,23
2014-01,25
2014-02,22
2014-03,23
2014-04,18
2014-05,19
2014-06,20
2014-07,22
2014-08,25
2014-09,20
2014-10,24
2014-11,39
2014-12,41
2015-01,28
2015-02,20
2015-03,19
2015-04,16
2015-05,17
2015-06,16
2015-07,17
2015-08,22
2015-09,14
2015-10,13
2015-11,16
2015-12,22
2016-01,19
2016-02,16
2016-03,15
2016-04,15
2016-05,14
2016-06,20
2016-07,26
2016-08,28
2016-09,39
2016-10,28
2016-11,18
2016-12,18
2017-01,18
2017-02,17
2017-03,14
2017-04,14
2017-05,15
2017-06,17
2017-07,14
2017-08,13
2017-09,14
2017-10,11
2017-11,16
2017-12,17
2018-01,17
2018-02,15
2018-03,16
2018-04,16
2018-05,15
2018-06,14
2018-07,20
2018-08,26
2018-09,22
2018-10,12
2018-11,11
2018-12,8
2019-01,7
2019-02,10
2019-03,12
2019-04,12
2019-05,14
2019-06,15
2019-07,14
2019-08,38
2019-09,66
2019-10,41
2019-11,28
2019-12,21
2020-01,21
2020-02,23
2020-03,22
2020-04,29
2020-05,32
2020-06,27
2020-07,25
2020-08,22
2020-09,23
2020-10,24
2020-11,25
2020-12,37
2021-01,25
2021-02,20
2021-03,19
2021-04,17
2021-05,21
2021-06,22
2021-07,16
2021-08,11
2021-09,9
2021-10,7
2021-11,8
2021-12,10
2022-01,15
2022-02,14
2022-03,13
2022-04,15
2022-05,17
2022-06,16
2022-07,18
2022-08,20
2022-09,23
2022-10,21
