Category: Games

Month,wowhead: (United States)
2004-10,0
2004-11,0
2004-12,0
2005-01,<1
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,<1
2006-02,1
2006-03,1
2006-04,1
2006-05,3
2006-06,3
2006-07,4
2006-08,5
2006-09,4
2006-10,3
2006-11,4
2006-12,9
2007-01,18
2007-02,28
2007-03,28
2007-04,27
2007-05,36
2007-06,44
2007-07,41
2007-08,39
2007-09,36
2007-10,35
2007-11,42
2007-12,42
2008-01,45
2008-02,44
2008-03,46
2008-04,47
2008-05,43
2008-06,49
2008-07,56
2008-08,52
2008-09,49
2008-10,60
2008-11,84
2008-12,100
2009-01,86
2009-02,77
2009-03,67
2009-04,66
2009-05,59
2009-06,59
2009-07,63
2009-08,60
2009-09,53
2009-10,51
2009-11,47
2009-12,55
2010-01,49
2010-02,47
2010-03,39
2010-04,40
2010-05,39
2010-06,45
2010-07,40
2010-08,37
2010-09,36
2010-10,38
2010-11,40
2010-12,92
2011-01,74
2011-02,48
2011-03,36
2011-04,33
2011-05,34
2011-06,34
2011-07,34
2011-08,30
2011-09,27
2011-10,28
2011-11,23
2011-12,33
2012-01,24
2012-02,20
2012-03,20
2012-04,22
2012-05,18
2012-06,17
2012-07,19
2012-08,20
2012-09,23
2012-10,33
2012-11,24
2012-12,23
2013-01,20
2013-02,18
2013-03,19
2013-04,16
2013-05,15
2013-06,16
2013-07,15
2013-08,13
2013-09,16
2013-10,12
2013-11,13
2013-12,14
2014-01,14
2014-02,13
2014-03,11
2014-04,9
2014-05,10
2014-06,11
2014-07,11
2014-08,13
2014-09,12
2014-10,16
2014-11,30
2014-12,23
2015-01,16
2015-02,12
2015-03,9
2015-04,8
2015-05,7
2015-06,9
2015-07,10
2015-08,10
2015-09,8
2015-10,6
2015-11,9
2015-12,10
2016-01,6
2016-02,6
2016-03,6
2016-04,5
2016-05,7
2016-06,8
2016-07,10
2016-08,14
2016-09,25
2016-10,14
2016-11,10
2016-12,7
2017-01,8
2017-02,6
2017-03,6
2017-04,8
2017-05,6
2017-06,6
2017-07,6
2017-08,4
2017-09,4
2017-10,4
2017-11,6
2017-12,6
2018-01,7
2018-02,8
2018-03,6
2018-04,6
2018-05,6
2018-06,5
2018-07,8
2018-08,13
2018-09,12
2018-10,7
2018-11,6
2018-12,5
2019-01,5
2019-02,4
2019-03,4
2019-04,4
2019-05,5
2019-06,6
2019-07,7
2019-08,10
2019-09,18
2019-10,12
2019-11,11
2019-12,7
2020-01,8
2020-02,8
2020-03,6
2020-04,12
2020-05,10
2020-06,8
2020-07,8
2020-08,8
2020-09,8
2020-10,8
2020-11,12
2020-12,15
2021-01,9
2021-02,7
2021-03,6
2021-04,6
2021-05,7
2021-06,8
2021-07,8
2021-08,5
2021-09,4
2021-10,3
2021-11,4
2021-12,3
2022-01,5
2022-02,6
2022-03,7
2022-04,8
2022-05,7
2022-06,7
2022-07,10
2022-08,11
2022-09,12
2022-10,14
