Category: Games

Month,wow hunter: (United States)
2004-10,0
2004-11,12
2004-12,23
2005-01,19
2005-02,23
2005-03,30
2005-04,28
2005-05,34
2005-06,35
2005-07,35
2005-08,39
2005-09,45
2005-10,45
2005-11,63
2005-12,57
2006-01,53
2006-02,47
2006-03,56
2006-04,40
2006-05,55
2006-06,58
2006-07,60
2006-08,69
2006-09,62
2006-10,69
2006-11,64
2006-12,99
2007-01,84
2007-02,67
2007-03,66
2007-04,71
2007-05,76
2007-06,74
2007-07,78
2007-08,76
2007-09,65
2007-10,73
2007-11,76
2007-12,93
2008-01,95
2008-02,96
2008-03,81
2008-04,87
2008-05,81
2008-06,82
2008-07,93
2008-08,96
2008-09,72
2008-10,100
2008-11,78
2008-12,82
2009-01,88
2009-02,82
2009-03,83
2009-04,84
2009-05,73
2009-06,75
2009-07,86
2009-08,84
2009-09,75
2009-10,65
2009-11,66
2009-12,75
2010-01,74
2010-02,68
2010-03,66
2010-04,64
2010-05,63
2010-06,65
2010-07,62
2010-08,60
2010-09,50
2010-10,73
2010-11,56
2010-12,72
2011-01,68
2011-02,52
2011-03,46
2011-04,42
2011-05,44
2011-06,43
2011-07,50
2011-08,42
2011-09,36
2011-10,37
2011-11,30
2011-12,37
2012-01,33
2012-02,31
2012-03,32
2012-04,33
2012-05,27
2012-06,28
2012-07,32
2012-08,30
2012-09,29
2012-10,29
2012-11,24
2012-12,28
2013-01,28
2013-02,24
2013-03,27
2013-04,24
2013-05,23
2013-06,27
2013-07,26
2013-08,26
2013-09,19
2013-10,20
2013-11,24
2013-12,27
2014-01,30
2014-02,27
2014-03,26
2014-04,22
2014-05,22
2014-06,23
2014-07,25
2014-08,28
2014-09,23
2014-10,26
2014-11,37
2014-12,38
2015-01,30
2015-02,21
2015-03,20
2015-04,18
2015-05,18
2015-06,17
2015-07,20
2015-08,38
2015-09,18
2015-10,17
2015-11,25
2015-12,24
2016-01,21
2016-02,19
2016-03,17
2016-04,17
2016-05,19
2016-06,24
2016-07,38
2016-08,59
2016-09,58
2016-10,33
2016-11,22
2016-12,20
2017-01,24
2017-02,20
2017-03,18
2017-04,19
2017-05,19
2017-06,19
2017-07,16
2017-08,14
2017-09,15
2017-10,11
2017-11,18
2017-12,18
2018-01,18
2018-02,19
2018-03,16
2018-04,17
2018-05,15
2018-06,17
2018-07,28
2018-08,39
2018-09,30
2018-10,16
2018-11,14
2018-12,13
2019-01,11
2019-02,9
2019-03,9
2019-04,10
2019-05,14
2019-06,17
2019-07,13
2019-08,38
2019-09,72
2019-10,39
2019-11,29
2019-12,22
2020-01,20
2020-02,21
2020-03,23
2020-04,36
2020-05,33
2020-06,28
2020-07,29
2020-08,27
2020-09,22
2020-10,28
2020-11,31
2020-12,38
2021-01,24
2021-02,20
2021-03,18
2021-04,17
2021-05,21
2021-06,19
2021-07,15
2021-08,10
2021-09,8
2021-10,8
2021-11,10
2021-12,10
2022-01,15
2022-02,14
2022-03,15
2022-04,19
2022-05,17
2022-06,16
2022-07,17
2022-08,19
2022-09,20
2022-10,20
