Category: Games

Month,wow mage: (United States)
2004-10,3
2004-11,0
2004-12,15
2005-01,17
2005-02,15
2005-03,13
2005-04,17
2005-05,24
2005-06,32
2005-07,36
2005-08,33
2005-09,35
2005-10,24
2005-11,31
2005-12,42
2006-01,43
2006-02,40
2006-03,44
2006-04,37
2006-05,53
2006-06,64
2006-07,53
2006-08,60
2006-09,58
2006-10,54
2006-11,63
2006-12,78
2007-01,73
2007-02,68
2007-03,68
2007-04,67
2007-05,68
2007-06,68
2007-07,76
2007-08,78
2007-09,69
2007-10,64
2007-11,71
2007-12,80
2008-01,83
2008-02,79
2008-03,88
2008-04,91
2008-05,87
2008-06,90
2008-07,94
2008-08,87
2008-09,79
2008-10,86
2008-11,77
2008-12,80
2009-01,87
2009-02,84
2009-03,85
2009-04,83
2009-05,76
2009-06,73
2009-07,76
2009-08,73
2009-09,62
2009-10,64
2009-11,57
2009-12,72
2010-01,75
2010-02,60
2010-03,61
2010-04,65
2010-05,64
2010-06,65
2010-07,61
2010-08,59
2010-09,47
2010-10,69
2010-11,50
2010-12,61
2011-01,61
2011-02,50
2011-03,40
2011-04,35
2011-05,40
2011-06,41
2011-07,41
2011-08,40
2011-09,30
2011-10,30
2011-11,29
2011-12,38
2012-01,32
2012-02,30
2012-03,33
2012-04,35
2012-05,25
2012-06,24
2012-07,30
2012-08,29
2012-09,29
2012-10,26
2012-11,22
2012-12,23
2013-01,25
2013-02,21
2013-03,23
2013-04,19
2013-05,20
2013-06,20
2013-07,21
2013-08,19
2013-09,19
2013-10,16
2013-11,20
2013-12,22
2014-01,22
2014-02,20
2014-03,22
2014-04,16
2014-05,18
2014-06,18
2014-07,19
2014-08,22
2014-09,16
2014-10,22
2014-11,30
2014-12,29
2015-01,23
2015-02,18
2015-03,15
2015-04,13
2015-05,12
2015-06,15
2015-07,17
2015-08,17
2015-09,11
2015-10,12
2015-11,15
2015-12,19
2016-01,17
2016-02,15
2016-03,11
2016-04,14
2016-05,14
2016-06,19
2016-07,21
2016-08,27
2016-09,35
2016-10,23
2016-11,18
2016-12,16
2017-01,18
2017-02,13
2017-03,14
2017-04,19
2017-05,13
2017-06,14
2017-07,13
2017-08,12
2017-09,13
2017-10,11
2017-11,17
2017-12,16
2018-01,15
2018-02,17
2018-03,15
2018-04,16
2018-05,17
2018-06,21
2018-07,27
2018-08,25
2018-09,17
2018-10,11
2018-11,9
2018-12,9
2019-01,8
2019-02,8
2019-03,9
2019-04,10
2019-05,12
2019-06,14
2019-07,12
2019-08,45
2019-09,100
2019-10,51
2019-11,38
2019-12,28
2020-01,25
2020-02,28
2020-03,28
2020-04,43
2020-05,41
2020-06,34
2020-07,32
2020-08,31
2020-09,26
2020-10,24
2020-11,26
2020-12,29
2021-01,24
2021-02,19
2021-03,19
2021-04,16
2021-05,22
2021-06,20
2021-07,17
2021-08,10
2021-09,8
2021-10,7
2021-11,11
2021-12,17
2022-01,15
2022-02,13
2022-03,14
2022-04,18
2022-05,18
2022-06,16
2022-07,18
2022-08,18
2022-09,22
2022-10,19
