Category: Games

Month,wow paladin: (United States)
2004-10,8
2004-11,0
2004-12,25
2005-01,24
2005-02,26
2005-03,19
2005-04,19
2005-05,14
2005-06,23
2005-07,30
2005-08,33
2005-09,22
2005-10,23
2005-11,43
2005-12,23
2006-01,33
2006-02,33
2006-03,35
2006-04,35
2006-05,40
2006-06,31
2006-07,37
2006-08,41
2006-09,40
2006-10,50
2006-11,41
2006-12,48
2007-01,69
2007-02,75
2007-03,70
2007-04,69
2007-05,60
2007-06,71
2007-07,80
2007-08,74
2007-09,62
2007-10,66
2007-11,75
2007-12,80
2008-01,88
2008-02,86
2008-03,84
2008-04,76
2008-05,78
2008-06,92
2008-07,90
2008-08,94
2008-09,79
2008-10,99
2008-11,84
2008-12,96
2009-01,90
2009-02,90
2009-03,90
2009-04,98
2009-05,95
2009-06,100
2009-07,96
2009-08,95
2009-09,80
2009-10,83
2009-11,70
2009-12,91
2010-01,89
2010-02,78
2010-03,76
2010-04,79
2010-05,74
2010-06,80
2010-07,67
2010-08,68
2010-09,55
2010-10,80
2010-11,59
2010-12,68
2011-01,63
2011-02,49
2011-03,39
2011-04,40
2011-05,40
2011-06,37
2011-07,38
2011-08,39
2011-09,36
2011-10,34
2011-11,29
2011-12,35
2012-01,29
2012-02,27
2012-03,27
2012-04,31
2012-05,25
2012-06,26
2012-07,30
2012-08,30
2012-09,25
2012-10,27
2012-11,22
2012-12,25
2013-01,27
2013-02,22
2013-03,24
2013-04,19
2013-05,20
2013-06,22
2013-07,24
2013-08,20
2013-09,19
2013-10,17
2013-11,21
2013-12,24
2014-01,24
2014-02,20
2014-03,22
2014-04,19
2014-05,16
2014-06,16
2014-07,21
2014-08,24
2014-09,20
2014-10,25
2014-11,33
2014-12,34
2015-01,27
2015-02,18
2015-03,17
2015-04,15
2015-05,16
2015-06,13
2015-07,18
2015-08,23
2015-09,13
2015-10,11
2015-11,15
2015-12,17
2016-01,17
2016-02,16
2016-03,14
2016-04,14
2016-05,14
2016-06,20
2016-07,23
2016-08,26
2016-09,41
2016-10,28
2016-11,19
2016-12,18
2017-01,20
2017-02,15
2017-03,13
2017-04,15
2017-05,13
2017-06,15
2017-07,13
2017-08,12
2017-09,12
2017-10,11
2017-11,18
2017-12,16
2018-01,14
2018-02,15
2018-03,14
2018-04,14
2018-05,11
2018-06,14
2018-07,22
2018-08,31
2018-09,21
2018-10,15
2018-11,11
2018-12,10
2019-01,8
2019-02,9
2019-03,11
2019-04,9
2019-05,17
2019-06,16
2019-07,15
2019-08,32
2019-09,54
2019-10,34
2019-11,25
2019-12,19
2020-01,19
2020-02,19
2020-03,18
2020-04,28
2020-05,29
2020-06,26
2020-07,25
2020-08,24
2020-09,21
2020-10,23
2020-11,24
2020-12,31
2021-01,27
2021-02,20
2021-03,18
2021-04,19
2021-05,30
2021-06,23
2021-07,18
2021-08,12
2021-09,11
2021-10,8
2021-11,12
2021-12,12
2022-01,17
2022-02,17
2022-03,19
2022-04,21
2022-05,25
2022-06,23
2022-07,24
2022-08,28
2022-09,34
2022-10,28
