Category: Games

Month,wow pvp: (United States)
2004-10,0
2004-11,3
2004-12,9
2005-01,10
2005-02,16
2005-03,13
2005-04,26
2005-05,29
2005-06,29
2005-07,29
2005-08,24
2005-09,28
2005-10,33
2005-11,40
2005-12,51
2006-01,46
2006-02,47
2006-03,48
2006-04,43
2006-05,52
2006-06,59
2006-07,55
2006-08,68
2006-09,68
2006-10,57
2006-11,63
2006-12,100
2007-01,57
2007-02,39
2007-03,40
2007-04,45
2007-05,49
2007-06,60
2007-07,57
2007-08,54
2007-09,47
2007-10,51
2007-11,62
2007-12,73
2008-01,73
2008-02,72
2008-03,80
2008-04,74
2008-05,68
2008-06,74
2008-07,76
2008-08,68
2008-09,62
2008-10,63
2008-11,54
2008-12,62
2009-01,58
2009-02,49
2009-03,52
2009-04,54
2009-05,61
2009-06,64
2009-07,69
2009-08,65
2009-09,65
2009-10,56
2009-11,53
2009-12,49
2010-01,48
2010-02,51
2010-03,53
2010-04,56
2010-05,65
2010-06,62
2010-07,56
2010-08,51
2010-09,41
2010-10,45
2010-11,40
2010-12,51
2011-01,62
2011-02,47
2011-03,46
2011-04,39
2011-05,46
2011-06,49
2011-07,57
2011-08,54
2011-09,42
2011-10,42
2011-11,35
2011-12,44
2012-01,38
2012-02,36
2012-03,40
2012-04,43
2012-05,33
2012-06,35
2012-07,41
2012-08,35
2012-09,30
2012-10,42
2012-11,32
2012-12,36
2013-01,39
2013-02,32
2013-03,39
2013-04,30
2013-05,36
2013-06,35
2013-07,31
2013-08,28
2013-09,25
2013-10,23
2013-11,27
2013-12,35
2014-01,34
2014-02,36
2014-03,34
2014-04,27
2014-05,27
2014-06,29
2014-07,34
2014-08,38
2014-09,27
2014-10,27
2014-11,42
2014-12,45
2015-01,35
2015-02,22
2015-03,18
2015-04,20
2015-05,18
2015-06,20
2015-07,25
2015-08,25
2015-09,19
2015-10,15
2015-11,21
2015-12,28
2016-01,22
2016-02,19
2016-03,18
2016-04,18
2016-05,18
2016-06,21
2016-07,24
2016-08,25
2016-09,28
2016-10,22
2016-11,16
2016-12,17
2017-01,17
2017-02,13
2017-03,13
2017-04,14
2017-05,13
2017-06,14
2017-07,12
2017-08,12
2017-09,11
2017-10,10
2017-11,16
2017-12,14
2018-01,13
2018-02,14
2018-03,14
2018-04,12
2018-05,11
2018-06,11
2018-07,22
2018-08,26
2018-09,30
2018-10,17
2018-11,13
2018-12,11
2019-01,11
2019-02,9
2019-03,11
2019-04,11
2019-05,16
2019-06,17
2019-07,14
2019-08,31
2019-09,35
2019-10,21
2019-11,36
2019-12,28
2020-01,19
2020-02,16
2020-03,17
2020-04,27
2020-05,30
2020-06,26
2020-07,24
2020-08,22
2020-09,18
2020-10,18
2020-11,20
2020-12,41
2021-01,36
2021-02,26
2021-03,19
2021-04,16
2021-05,21
2021-06,15
2021-07,14
2021-08,9
2021-09,8
2021-10,7
2021-11,9
2021-12,10
2022-01,17
2022-02,17
2022-03,17
2022-04,18
2022-05,21
2022-06,19
2022-07,19
2022-08,22
2022-09,25
2022-10,19
