Category: Games

Month,wow rogue: (United States)
2004-10,3
2004-11,14
2004-12,25
2005-01,17
2005-02,27
2005-03,21
2005-04,24
2005-05,37
2005-06,37
2005-07,38
2005-08,40
2005-09,51
2005-10,35
2005-11,48
2005-12,45
2006-01,51
2006-02,51
2006-03,43
2006-04,42
2006-05,56
2006-06,52
2006-07,71
2006-08,75
2006-09,64
2006-10,68
2006-11,58
2006-12,76
2007-01,72
2007-02,63
2007-03,70
2007-04,64
2007-05,72
2007-06,72
2007-07,69
2007-08,75
2007-09,70
2007-10,63
2007-11,73
2007-12,78
2008-01,94
2008-02,76
2008-03,88
2008-04,87
2008-05,85
2008-06,100
2008-07,94
2008-08,93
2008-09,72
2008-10,85
2008-11,60
2008-12,77
2009-01,75
2009-02,73
2009-03,65
2009-04,66
2009-05,66
2009-06,67
2009-07,67
2009-08,67
2009-09,57
2009-10,57
2009-11,50
2009-12,62
2010-01,60
2010-02,57
2010-03,53
2010-04,50
2010-05,53
2010-06,56
2010-07,52
2010-08,46
2010-09,39
2010-10,53
2010-11,42
2010-12,46
2011-01,41
2011-02,33
2011-03,32
2011-04,30
2011-05,28
2011-06,32
2011-07,36
2011-08,31
2011-09,31
2011-10,27
2011-11,28
2011-12,35
2012-01,28
2012-02,27
2012-03,28
2012-04,34
2012-05,25
2012-06,25
2012-07,30
2012-08,24
2012-09,21
2012-10,19
2012-11,16
2012-12,20
2013-01,22
2013-02,18
2013-03,21
2013-04,16
2013-05,17
2013-06,19
2013-07,18
2013-08,18
2013-09,15
2013-10,15
2013-11,17
2013-12,21
2014-01,20
2014-02,21
2014-03,18
2014-04,16
2014-05,15
2014-06,17
2014-07,17
2014-08,21
2014-09,17
2014-10,22
2014-11,27
2014-12,26
2015-01,20
2015-02,17
2015-03,16
2015-04,14
2015-05,15
2015-06,14
2015-07,17
2015-08,17
2015-09,11
2015-10,10
2015-11,14
2015-12,19
2016-01,15
2016-02,12
2016-03,13
2016-04,12
2016-05,12
2016-06,16
2016-07,20
2016-08,23
2016-09,30
2016-10,20
2016-11,15
2016-12,13
2017-01,14
2017-02,12
2017-03,10
2017-04,11
2017-05,10
2017-06,13
2017-07,13
2017-08,10
2017-09,8
2017-10,7
2017-11,12
2017-12,13
2018-01,11
2018-02,13
2018-03,9
2018-04,11
2018-05,11
2018-06,12
2018-07,19
2018-08,23
2018-09,18
2018-10,10
2018-11,9
2018-12,7
2019-01,7
2019-02,6
2019-03,7
2019-04,8
2019-05,12
2019-06,13
2019-07,9
2019-08,36
2019-09,68
2019-10,40
2019-11,28
2019-12,22
2020-01,20
2020-02,19
2020-03,18
2020-04,28
2020-05,28
2020-06,23
2020-07,23
2020-08,23
2020-09,21
2020-10,20
2020-11,21
2020-12,24
2021-01,16
2021-02,13
2021-03,14
2021-04,14
2021-05,16
2021-06,13
2021-07,10
2021-08,6
2021-09,5
2021-10,5
2021-11,8
2021-12,7
2022-01,10
2022-02,11
2022-03,10
2022-04,10
2022-05,11
2022-06,12
2022-07,13
2022-08,14
2022-09,17
2022-10,16
