Category: Games

Month,wow warlock: (United States)
2004-10,0
2004-11,14
2004-12,32
2005-01,26
2005-02,25
2005-03,30
2005-04,32
2005-05,23
2005-06,25
2005-07,26
2005-08,47
2005-09,37
2005-10,28
2005-11,39
2005-12,35
2006-01,52
2006-02,44
2006-03,48
2006-04,46
2006-05,41
2006-06,58
2006-07,60
2006-08,55
2006-09,66
2006-10,57
2006-11,66
2006-12,93
2007-01,74
2007-02,69
2007-03,76
2007-04,75
2007-05,72
2007-06,78
2007-07,83
2007-08,86
2007-09,79
2007-10,75
2007-11,78
2007-12,97
2008-01,88
2008-02,96
2008-03,100
2008-04,89
2008-05,85
2008-06,81
2008-07,91
2008-08,97
2008-09,72
2008-10,92
2008-11,72
2008-12,77
2009-01,89
2009-02,71
2009-03,73
2009-04,81
2009-05,75
2009-06,67
2009-07,85
2009-08,67
2009-09,74
2009-10,62
2009-11,61
2009-12,68
2010-01,67
2010-02,63
2010-03,50
2010-04,62
2010-05,62
2010-06,58
2010-07,59
2010-08,58
2010-09,46
2010-10,62
2010-11,41
2010-12,56
2011-01,52
2011-02,38
2011-03,29
2011-04,26
2011-05,32
2011-06,27
2011-07,33
2011-08,31
2011-09,28
2011-10,27
2011-11,23
2011-12,30
2012-01,22
2012-02,20
2012-03,23
2012-04,27
2012-05,21
2012-06,22
2012-07,24
2012-08,25
2012-09,29
2012-10,28
2012-11,28
2012-12,24
2013-01,26
2013-02,24
2013-03,28
2013-04,25
2013-05,24
2013-06,25
2013-07,25
2013-08,20
2013-09,21
2013-10,18
2013-11,22
2013-12,25
2014-01,29
2014-02,25
2014-03,27
2014-04,21
2014-05,23
2014-06,23
2014-07,25
2014-08,30
2014-09,24
2014-10,25
2014-11,34
2014-12,28
2015-01,22
2015-02,18
2015-03,17
2015-04,16
2015-05,15
2015-06,14
2015-07,18
2015-08,20
2015-09,12
2015-10,14
2015-11,16
2015-12,18
2016-01,16
2016-02,14
2016-03,13
2016-04,15
2016-05,17
2016-06,18
2016-07,27
2016-08,28
2016-09,33
2016-10,24
2016-11,16
2016-12,18
2017-01,19
2017-02,15
2017-03,14
2017-04,12
2017-05,14
2017-06,17
2017-07,12
2017-08,11
2017-09,12
2017-10,11
2017-11,17
2017-12,14
2018-01,16
2018-02,18
2018-03,15
2018-04,14
2018-05,15
2018-06,15
2018-07,24
2018-08,27
2018-09,20
2018-10,14
2018-11,11
2018-12,8
2019-01,9
2019-02,8
2019-03,11
2019-04,12
2019-05,16
2019-06,16
2019-07,15
2019-08,53
2019-09,87
2019-10,45
2019-11,31
2019-12,24
2020-01,22
2020-02,22
2020-03,21
2020-04,29
2020-05,29
2020-06,25
2020-07,27
2020-08,27
2020-09,22
2020-10,23
2020-11,24
2020-12,25
2021-01,21
2021-02,18
2021-03,18
2021-04,17
2021-05,23
2021-06,22
2021-07,15
2021-08,10
2021-09,8
2021-10,7
2021-11,9
2021-12,9
2022-01,14
2022-02,13
2022-03,13
2022-04,16
2022-05,19
2022-06,15
2022-07,17
2022-08,21
2022-09,23
2022-10,24
