Quarter,Revenue,,,
2022Q1,274,22,Q1,2022
2021Q4,419,21,Q4,2021
2021Q3,493,21,Q3,2021
2021Q2,433,21,Q2,2021
2021Q1,483,21,Q1,2021
2020Q4,579,20,Q4,2020
2020Q3,411,20,Q3,2020
2020Q2,461,20,Q2,2020
2020Q1,452,20,Q1,2020
2019Q4,595,19,Q4,2019
2019Q3,394,19,Q3,2019
2019Q2,384,19,Q2,2019
2019Q1,339,19,Q1,2019
2018Q4,647,18,Q4,2018
2018Q3,627,18,Q3,2018
2018Q2,485,18,Q2,2018
2018Q1,479,18,Q1,2018
2017Q4,580,17,Q4,2017
2017Q3,531,17,Q3,2017
2017Q2,566,17,Q2,2017
2017Q1,443,17,Q1,2017
2016Q4,672,16,Q4,2016
2016Q3,729,16,Q3,2016
2016Q2,738,16,Q2,2016
2016Q1,294,16,Q1,2016
2015Q4,459,15,Q4,2015
2015Q3,369,15,Q3,2015
2015Q2,385,15,Q2,2015
2015Q1,352,15,Q1,2015
2014Q4,531,14,Q4,2014
2014Q3,388,14,Q3,2014
2014Q2,340,14,Q2,2014
2014Q1,462,14,Q1,2014
2013Q4,287,13,Q4,2013
2013Q3,282,13,Q3,2013
2013Q2,224,13,Q2,2013
2013Q1,330,13,Q1,2013
2012Q4,310,12,Q4,2012
2012Q3,414,12,Q3,2012
2012Q2,634,12,Q2,2012
2012Q1,251,12,Q1,2012
2011Q4,276,11,Q4,2011
2011Q3,297,11,Q3,2011
2011Q2,313,11,Q2,2011
2011Q1,357,11,Q1,2011
2010Q4,570,10,Q4,2010
2010Q3,481,10,Q3,2010
2010Q2,299,10,Q2,2010
2010Q1,306,10,Q1,2010
2009Q4,328,09,Q4,2009
2009Q3,286,09,Q3,2009
2009Q2,324,09,Q2,2009
2009Q1,291,09,Q1,2009
2008Q4,475,08,Q4,2008
2008Q3,297,08,Q3,2008
2008Q2,291,08,Q2,2008
2008Q1,280,08,Q1,2008
